cust_id,HHIncBand,AgeBrkt,Gdr,HomeOwn,FavSport
110167,HighIncome,55-64,F,Owns,motorsport
904856,0-35k,45-54,F,owner,Baseball
115295,Under35,35-44,,tenant,Baseball
107256,35_75,18 to 24,F,own,MMA
111746,Low,25-34,F,owner,Basketball
104969,150kplus,25-34,M,tenant,Basketball
101868,Low,55-64,M,,Baseball
105715,Under35,55-64,M,tenant,Soccer
111565,35-75k,35-44,F,tenant,tennis
116369,MedHigh,25_34,O,Owns,Hockey
109317,75to150,55-64,M,rent,Soccer
115352,35-75k,70,F,Owns,Football
109109,75-150k,45-54,M,owner,MMA
101340,150k+,35-44,F,,golf
118095,35_75,65+,M,Owns,Baseball
114972,75to150,25-34,F,owner,motorsport
118467,Low,35-44,F,tenant,golf
107138,HighIncome,65+,M,,MMA
114755,Under35,25_34,M,,Hockey
117104,75to150,45-54,M,,Basketball
105997,150kplus,35-44,F,Owns,Hockey
101002,35_75,25-34,M,,Football
114575,Low,45-54,F,tenant,Football
107850,75to150,55-64,M,owner,motorsport
961585,0-35k,18 to 24,F,tenant,MMA
107402,0-35k,55-64,F,owner,Basketball
111249,150k+,55-64,F,owner,tennis
113561,75-150k,25-34,M,rent,Hockey
113877,75to150,25-34,F,owner,esports
109059,150k+,25_34,F,rent,Hockey
104343,150k+,45-54,M,,esports
115954,150kplus,25-34,F,,Basketball
109262,35_75,35-44,F,tenant,motorsport
110137,150k+,18-24,F,,Hockey
116152,0-35k,18 to 24,M,own,MMA
102118,75-150k,65+,F,own,esports
112844,150kplus,25_34,M,,Baseball
115632,0-35k,65+,F,rent,Soccer
112917,Under35,35-44,M,Owns,motorsport
119052,MedHigh,18 to 24,M,,esports
113990,HighIncome,45-54,M,own,golf
104028,75to150,25-34,F,,Basketball
118410,150kplus,25-34,M,tenant,motorsport
110141,150kplus,35-44,F,owner,golf
105511,150k+,25-34,F,tenant,Hockey
100380,HighIncome,18-24,F,,MMA
102626,150k+,25_34,M,rent,esports
116551,150kplus,70,M,own,Basketball
119593,HighIncome,65+,F,Owns,tennis
108700,0-35k,18-24,M,tenant,golf
118473,MedHigh,25-34,F,own,tennis
116006,150k+,55-64,F,owner,Hockey
103750,75to150,25-34,F,tenant,esports
117316,150k+,65+,M,owner,Basketball
119619,75-150k,55-64,F,owner,Soccer
103851,150k+,65+,M,tenant,golf
115424,0-35k,18 to 24,F,own,golf
117118,150k+,45-54,M,,Football
103373,75to150,18 to 24,F,,golf
119626,Under35,18-24,M,own,Football
113790,Low,18-24,F,rent,tennis
112552,35-75k,70,F,rent,Hockey
112541,75-150k,65+,F,,Hockey
103409,35-75k,65+,M,tenant,Baseball
111795,75to150,55-64,M,,MMA
119135,35_75,25-34,F,,esports
105971,MedHigh,18 to 24,F,,Football
108233,0-35k,45-54,M,rent,golf
100870,0-35k,25-34,F,,Basketball
106366,HighIncome,45-54,F,Owns,
112356,35-75k,45-54,M,Owns,
118686,Under35,45-54,M,own,Soccer
113701,150k+,65+,M,owner,golf
101364,35-75k,18 to 24,M,tenant,Soccer
118397,35_75,45-54,M,owner,esports
105526,150k+,35-44,M,rent,motorsport
116379,150kplus,70,F,rent,Basketball
104058,75-150k,18 to 24,F,tenant,Baseball
119702,75-150k,18-24,F,,Basketball
104664,35_75,45-54,F,Owns,golf
914287,75-150k,18 to 24,F,rent,golf
107881,HighIncome,55-64,M,tenant,golf
100626,Low,55-64,M,,Football
106606,MedHigh,18 to 24,F,tenant,MMA
112874,75to150,70,F,own,tennis
107535,HighIncome,45-54,F,tenant,motorsport
110863,150k+,65+,M,owner,
102306,35_75,25-34,M,Owns,Hockey
100235,150k+,65+,M,Owns,Baseball
113535,35_75,70,M,,Basketball
107079,0-35k,35-44,F,rent,
103403,150k+,18 to 24,M,rent,golf
119078,75to150,35-44,M,tenant,Football
103010,Low,25-34,F,owner,
117092,150k+,18 to 24,F,rent,tennis
101145,HighIncome,65+,M,,Soccer
111262,75to150,65+,M,owner,motorsport
106593,150kplus,35-44,M,owner,
117973,0-35k,18-24,M,,Hockey
118873,150k+,25-34,M,,motorsport
119842,150kplus,25-34,F,,tennis
106541,75-150k,65+,M,,
105196,MedHigh,18-24,M,own,golf
118883,35_75,18-24,M,,Hockey
107460,35_75,18 to 24,F,,Football
119274,35_75,55-64,F,,tennis
114411,150k+,65+,M,Owns,Baseball
109173,Under35,35-44,M,owner,Baseball
108603,150k+,65+,M,,golf
119676,75to150,25_34,F,,golf
115841,Low,25-34,F,rent,Football
114883,150k+,55-64,M,own,Basketball
115934,75to150,55-64,F,Owns,Baseball
116199,75-150k,45-54,F,tenant,golf
102750,HighIncome,25_34,M,rent,motorsport
116186,150k+,45-54,F,,MMA
116964,150k+,35-44,M,own,esports
107063,Under35,65+,M,tenant,esports
119119,150kplus,35-44,F,Owns,golf
105057,75-150k,18 to 24,F,tenant,motorsport
111455,HighIncome,55-64,O,owner,esports
107178,150k+,35-44,M,,Hockey
114356,MedHigh,25_34,M,rent,Hockey
119034,Low,65+,F,,MMA
114361,150k+,45-54,F,tenant,MMA
111629,35-75k,45-54,M,rent,Basketball
113916,Low,25-34,F,owner,
112033,Low,65+,M,tenant,motorsport
115202,Under35,25_34,F,tenant,Basketball
108156,150k+,18 to 24,M,,motorsport
106720,HighIncome,35-44,M,,MMA
119051,0-35k,65+,F,,Baseball
117080,35_75,65+,F,owner,Soccer
110784,Low,45-54,F,owner,Hockey
108441,75to150,18 to 24,F,own,MMA
107159,150k+,70,F,,Hockey
116432,Under35,45-54,M,,Soccer
110052,150k+,70,F,,esports
106231,75to150,45-54,M,Owns,Baseball
109585,75to150,45-54,F,,Basketball
105418,35-75k,18-24,F,owner,tennis
117496,0-35k,25_34,F,,Baseball
115020,150kplus,18 to 24,M,,
108815,Under35,18-24,F,,Soccer
119171,0-35k,18-24,M,,Basketball
100438,Low,65+,M,own,Baseball
112858,Under35,55-64,M,tenant,Baseball
101255,75-150k,25_34,M,Owns,MMA
117532,150k+,18-24,M,own,Soccer
112317,150k+,55-64,F,owner,Football
112150,35-75k,25_34,M,,Soccer
100454,75-150k,45-54,F,tenant,
107476,MedHigh,65+,M,,Hockey
119376,75-150k,25-34,F,owner,Baseball
113873,HighIncome,65+,F,owner,Football
105911,75to150,45-54,F,,Football
112513,75-150k,65+,O,,MMA
103841,Low,45-54,M,owner,Soccer
102572,MedHigh,70,M,rent,Basketball
119757,75to150,18-24,F,Owns,Soccer
110629,MedHigh,35-44,M,owner,MMA
106288,35-75k,18-24,M,Owns,Football
111214,0-35k,25-34,F,,MMA
110266,HighIncome,18-24,M,rent,tennis
105684,HighIncome,18-24,F,owner,Soccer
118532,Low,45-54,F,,golf
104093,HighIncome,35-44,F,rent,Basketball
117503,35-75k,55-64,F,tenant,Baseball
112449,35_75,25-34,F,owner,Baseball
116965,75-150k,35-44,M,,motorsport
112622,35-75k,18-24,M,,Soccer
109906,150k+,70,M,tenant,Football
108662,35_75,45-54,F,tenant,tennis
111329,HighIncome,18-24,F,tenant,Football
115856,75to150,35-44,M,Owns,Hockey
102864,35_75,55-64,F,owner,Soccer
108553,150k+,18-24,M,tenant,Basketball
102352,150k+,55-64,F,,tennis
119982,35_75,70,M,Owns,golf
119477,35-75k,45-54,F,tenant,motorsport
107235,75-150k,18-24,M,,Football
108877,150k+,65+,F,,MMA
118025,150kplus,25_34,F,,Basketball
111150,Under35,45-54,F,tenant,golf
109720,75to150,45-54,F,owner,MMA
108879,150kplus,18 to 24,M,,MMA
115395,75to150,25_34,O,,MMA
108064,35_75,45-54,M,,motorsport
103014,75-150k,25_34,F,tenant,
104002,0-35k,70,F,tenant,esports
112194,HighIncome,35-44,M,tenant,Basketball
107945,HighIncome,55-64,M,own,motorsport
116576,150k+,25_34,M,,motorsport
103297,75to150,45-54,F,owner,
119381,0-35k,18 to 24,F,own,
116192,Under35,35-44,F,own,
112087,HighIncome,70,F,rent,Hockey
113338,HighIncome,70,F,Owns,tennis
107789,150k+,45-54,F,own,Football
107783,150kplus,55-64,F,rent,motorsport
107360,Low,18-24,F,owner,
104830,150k+,25-34,M,Owns,motorsport
106654,75to150,70,F,Owns,Basketball
101444,150k+,65+,M,Owns,Soccer
102629,Under35,25_34,F,rent,golf
113679,75to150,45-54,M,rent,Hockey
112694,Under35,45-54,,owner,esports
107266,75-150k,65+,F,rent,MMA
104104,75to150,55-64,F,,Hockey
108291,75-150k,45-54,M,,Basketball
111058,MedHigh,70,F,own,Football
101866,MedHigh,35-44,F,own,
119950,75to150,45-54,F,,Soccer
111949,75to150,25_34,F,Owns,
101854,35-75k,25_34,F,,Football
108986,75to150,25_34,F,own,motorsport
107386,35_75,35-44,F,own,MMA
118058,35_75,25_34,F,tenant,motorsport
119213,75to150,18-24,F,own,Basketball
105411,150k+,25-34,F,,Football
102236,35-75k,45-54,M,owner,
112665,HighIncome,70,F,owner,Baseball
119770,75to150,65+,M,rent,Baseball
118666,75to150,18 to 24,F,Owns,Hockey
107374,35-75k,18 to 24,M,rent,golf
112849,150k+,25_34,F,own,esports
114508,HighIncome,18 to 24,F,tenant,motorsport
101922,150k+,25-34,F,,
107513,MedHigh,55-64,F,rent,tennis
104730,35-75k,18 to 24,M,rent,tennis
113324,35_75,25_34,M,,
115270,MedHigh,55-64,F,rent,MMA
108458,HighIncome,55-64,F,Owns,esports
107243,150k+,25-34,F,owner,MMA
113907,35-75k,35-44,M,tenant,Football
116695,35_75,18 to 24,M,Owns,esports
106424,35_75,55-64,M,,motorsport
111388,150k+,25-34,F,,motorsport
107467,75-150k,65+,M,owner,Football
102718,Under35,18-24,F,tenant,tennis
118386,HighIncome,65+,F,rent,Baseball
106363,MedHigh,35-44,M,owner,motorsport
100780,75to150,65+,F,own,esports
109327,35-75k,45-54,F,own,esports
116397,HighIncome,70,F,,Football
111334,35-75k,18-24,M,tenant,Soccer
109609,Low,35-44,F,Owns,golf
118378,Under35,70,M,owner,Soccer
100114,35-75k,55-64,F,,esports
105261,35-75k,18-24,M,Owns,Baseball
104686,0-35k,70,O,Owns,tennis
116303,MedHigh,55-64,F,rent,golf
116566,35_75,25-34,M,own,Basketball
101681,Low,55-64,M,rent,Football
102668,150k+,25_34,M,,Football
103600,75-150k,65+,M,own,golf
115007,Under35,45-54,M,,motorsport
111081,150k+,18-24,F,tenant,
101245,Low,35-44,F,,Football
111515,150k+,55-64,M,tenant,MMA
109413,Under35,18-24,M,,motorsport
102153,150k+,35-44,M,Owns,Soccer
100083,35-75k,65+,M,rent,motorsport
972855,Low,25-34,F,owner,Hockey
117882,35-75k,70,M,,esports
118616,35-75k,25_34,F,,esports
105674,0-35k,25_34,F,own,motorsport
110936,HighIncome,65+,M,,Football
103642,150k+,25-34,F,,MMA
957486,HighIncome,45-54,F,rent,tennis
107753,Low,25_34,M,rent,Baseball
104759,150k+,25_34,M,,Soccer
102915,MedHigh,35-44,M,,Hockey
115415,35-75k,45-54,F,rent,tennis
108145,Low,18-24,F,Owns,Basketball
105114,Low,25_34,M,owner,
103518,75to150,55-64,F,rent,esports
114208,150k+,18 to 24,M,own,Football
111649,35-75k,25-34,,own,
101975,150kplus,55-64,M,own,
117130,Under35,25-34,F,,tennis
103097,150k+,45-54,M,owner,Baseball
100836,75to150,18 to 24,M,own,Hockey
102086,150k+,18-24,M,owner,tennis
104347,Under35,70,F,,tennis
111582,150k+,18-24,M,tenant,tennis
102805,150k+,35-44,M,rent,Soccer
109065,Under35,45-54,M,tenant,Soccer
116946,150k+,25-34,F,rent,motorsport
109958,Low,18-24,M,,Football
112682,75to150,65+,F,,Soccer
106624,MedHigh,65+,M,owner,Hockey
106255,150k+,65+,F,,Football
107934,HighIncome,25_34,M,own,golf
100074,150k+,25-34,F,Owns,esports
114749,150kplus,55-64,M,Owns,Hockey
101607,35_75,18 to 24,M,tenant,
115029,MedHigh,18 to 24,F,,MMA
102835,150k+,25_34,F,,esports
108042,75-150k,18-24,O,owner,MMA
107318,150kplus,35-44,M,owner,Soccer
101752,150k+,18-24,M,,Hockey
113218,75-150k,55-64,F,,Football
115919,35_75,25_34,,owner,esports
119866,0-35k,45-54,M,Owns,Basketball
115139,HighIncome,70,F,owner,Basketball
100838,35_75,25_34,O,tenant,Soccer
103634,MedHigh,65+,M,,Baseball
117245,HighIncome,25_34,M,owner,esports
113849,75-150k,18-24,F,,tennis
107032,150k+,25-34,F,own,esports
115796,35_75,18 to 24,F,,
109534,75to150,25_34,F,Owns,golf
101818,0-35k,18 to 24,M,,Basketball
119408,Under35,65+,M,Owns,MMA
112726,HighIncome,18-24,M,rent,tennis
106474,150kplus,65+,M,own,tennis
110128,0-35k,18-24,F,own,esports
119314,HighIncome,35-44,M,Owns,tennis
107545,75to150,25-34,F,,tennis
103453,75-150k,18-24,F,rent,MMA
100439,150k+,70,F,tenant,tennis
102827,75to150,18-24,M,own,tennis
115840,Low,70,M,own,motorsport
110377,0-35k,18-24,M,tenant,Baseball
114457,35-75k,25_34,F,tenant,motorsport
118722,150k+,55-64,M,own,MMA
116863,75-150k,18-24,M,rent,Basketball
104938,150k+,18 to 24,M,,Basketball
101631,150kplus,35-44,F,own,MMA
106330,75to150,25_34,M,own,Soccer
114853,150kplus,45-54,M,tenant,tennis
111720,Under35,25-34,F,owner,Baseball
106141,MedHigh,35-44,M,,Football
111558,HighIncome,18 to 24,M,own,Soccer
109071,0-35k,65+,F,owner,motorsport
115987,Under35,18-24,F,,Baseball
103099,35-75k,25-34,M,own,Basketball
108294,0-35k,18 to 24,M,Owns,Football
101378,HighIncome,25-34,M,rent,tennis
107211,35_75,25_34,M,,golf
105479,75to150,65+,F,tenant,Soccer
119436,75-150k,70,M,Owns,Football
117091,35_75,35-44,F,own,
103195,150k+,18 to 24,M,rent,Baseball
113813,75to150,35-44,F,tenant,Football
111762,HighIncome,45-54,M,owner,motorsport
109149,35_75,18 to 24,F,,Baseball
103785,150kplus,25_34,F,Owns,
900885,75to150,18 to 24,M,owner,esports
114002,0-35k,18 to 24,F,rent,Soccer
114249,35-75k,25_34,F,,MMA
990770,0-35k,25-34,M,,MMA
110807,75to150,65+,M,Owns,Basketball
117971,150k+,18 to 24,F,,MMA
111479,150kplus,25_34,M,tenant,Baseball
112517,35_75,70,M,own,tennis
112740,MedHigh,18 to 24,F,owner,
115687,HighIncome,18-24,F,,Soccer
100837,HighIncome,45-54,O,Owns,Football
103571,Under35,65+,M,Owns,tennis
114714,75-150k,25_34,F,tenant,Basketball
104614,75to150,70,F,own,tennis
106237,150k+,18-24,M,Owns,tennis
103597,HighIncome,25_34,M,,tennis
112945,Low,18-24,M,rent,Football
112075,35-75k,65+,M,owner,Hockey
100284,75-150k,18 to 24,M,,Football
100894,Low,55-64,M,tenant,Football
110820,Under35,25_34,M,,golf
105537,150kplus,65+,F,tenant,esports
116954,HighIncome,25_34,F,owner,MMA
108203,150k+,70,M,Owns,
115874,MedHigh,25_34,F,own,Soccer
107856,75-150k,25-34,M,own,golf
106688,MedHigh,65+,M,,MMA
103710,MedHigh,55-64,F,,Baseball
116546,75to150,25-34,M,owner,motorsport
102457,35-75k,35-44,M,,Basketball
116082,35-75k,25_34,F,,MMA
113453,0-35k,45-54,F,tenant,
111707,35-75k,55-64,M,tenant,Football
115018,35_75,18 to 24,F,Owns,Basketball
118240,150kplus,25-34,F,,Hockey
113220,150kplus,25-34,F,own,MMA
103770,Under35,65+,F,owner,Hockey
116213,0-35k,65+,M,,tennis
103019,35-75k,18-24,M,,Soccer
115223,35-75k,70,F,,Baseball
111841,Under35,18 to 24,F,tenant,Basketball
112423,Under35,35-44,M,tenant,motorsport
118185,35_75,55-64,F,Owns,motorsport
115379,35_75,45-54,F,tenant,tennis
104305,35-75k,18 to 24,M,rent,
114332,75-150k,35-44,M,Owns,tennis
106171,35-75k,55-64,M,,Hockey
103368,35-75k,55-64,F,owner,golf
100237,0-35k,45-54,M,rent,
108041,35-75k,25-34,F,Owns,golf
116327,HighIncome,18 to 24,O,tenant,Basketball
108941,75-150k,45-54,F,own,Baseball
115811,75-150k,55-64,F,Owns,tennis
112519,MedHigh,65+,F,tenant,motorsport
100885,HighIncome,18 to 24,M,own,golf
109445,Low,65+,M,Owns,Football
106336,Low,25-34,M,owner,Baseball
111567,MedHigh,18 to 24,M,rent,tennis
115151,75-150k,65+,M,own,motorsport
114888,Low,70,M,tenant,Football
108429,150kplus,45-54,M,tenant,motorsport
105701,MedHigh,55-64,M,own,Basketball
103561,Under35,70,F,tenant,
103022,Under35,70,M,Owns,tennis
106072,75-150k,65+,M,,Basketball
104887,75to150,35-44,M,,Soccer
108013,75-150k,35-44,M,own,Soccer
115805,HighIncome,55-64,M,Owns,MMA
101099,0-35k,65+,F,tenant,Baseball
110591,35-75k,45-54,M,,Football
101823,35_75,70,M,,Baseball
118956,MedHigh,25-34,F,rent,MMA
111996,Low,55-64,F,,Football
119707,HighIncome,25_34,F,rent,
104497,150k+,70,M,owner,Baseball
115776,Under35,55-64,M,rent,Baseball
103507,150k+,55-64,M,own,Basketball
964513,MedHigh,18-24,F,own,motorsport
108466,0-35k,25-34,F,own,Basketball
110130,75to150,35-44,F,Owns,esports
119617,75-150k,18 to 24,M,own,motorsport
110395,35-75k,18-24,M,Owns,Soccer
112707,HighIncome,65+,M,owner,Baseball
115890,HighIncome,25_34,F,own,Baseball
113407,MedHigh,70,F,,Hockey
110208,150kplus,55-64,M,own,Soccer
116318,Under35,25-34,M,own,golf
110719,150k+,55-64,F,,golf
102476,150k+,18 to 24,M,,tennis
115216,150kplus,18 to 24,M,own,Football
105137,150kplus,70,F,own,tennis
102385,35_75,35-44,F,tenant,golf
950217,150k+,18-24,F,,Football
108687,HighIncome,35-44,F,,tennis
104160,75to150,18 to 24,M,,motorsport
110335,150k+,18 to 24,M,rent,Football
106473,150k+,35-44,F,tenant,tennis
114263,Low,25-34,M,owner,Baseball
102296,35_75,70,F,owner,Hockey
108489,MedHigh,55-64,M,own,Soccer
113061,35_75,65+,M,tenant,esports
115602,35-75k,35-44,M,own,Basketball
115858,35_75,55-64,M,rent,
115785,150kplus,55-64,M,,
111494,35-75k,70,M,,tennis
101616,75-150k,35-44,F,Owns,esports
103394,35-75k,18-24,M,rent,tennis
111655,75-150k,25_34,M,tenant,motorsport
118584,35-75k,18-24,M,own,golf
100795,0-35k,55-64,M,tenant,Baseball
101748,0-35k,18 to 24,M,Owns,golf
114677,0-35k,55-64,F,,Soccer
103621,35_75,18 to 24,F,own,Basketball
116351,150k+,25_34,F,own,Basketball
106131,35_75,18 to 24,M,own,Basketball
109265,150k+,18 to 24,M,owner,Basketball
106682,75-150k,25_34,M,tenant,tennis
111947,MedHigh,18 to 24,F,,tennis
104726,MedHigh,45-54,O,Owns,esports
112474,0-35k,35-44,M,rent,Football
106023,MedHigh,18 to 24,F,tenant,tennis
103564,150kplus,55-64,M,owner,Baseball
107515,150k+,65+,F,Owns,Hockey
119924,35-75k,35-44,F,,MMA
118672,Low,18 to 24,O,Owns,motorsport
118206,150kplus,25_34,F,,Soccer
104673,MedHigh,18-24,F,,
113514,35_75,55-64,M,,golf
106119,Under35,45-54,F,own,Soccer
112796,35-75k,18 to 24,M,rent,esports
115281,35-75k,25_34,M,owner,Football
105652,Low,25_34,O,rent,Baseball
111176,Low,45-54,F,,Baseball
100578,0-35k,25-34,F,,
946831,75-150k,18-24,F,tenant,Soccer
102821,HighIncome,18-24,M,owner,esports
114816,150k+,45-54,M,owner,Baseball
111900,Low,65+,F,,Hockey
104092,MedHigh,65+,F,tenant,Baseball
109280,Low,35-44,F,,esports
105174,150kplus,65+,M,rent,esports
113236,35-75k,55-64,F,,
108158,75to150,18-24,M,Owns,esports
111687,150k+,70,M,owner,
110272,150kplus,25_34,,owner,Hockey
