ScanId,Evt,Bc,ScanTs,Gate,Valid
9000000,EVT00024,B600000-1-223,10/26/2024 12:39,G2,1
9000001,EVT00025,B600000-2-753,11/18/2024 19:15,G1,1
9000002,EVT00017,B600001-1-202,3/20/2025 20:52,North,1
9000003,EVT00064,B600001-2-613,11/23/2024 0:49,VIP,1
9000004,EVT00021,B600002-1-793,3/4/2025 18:12,G1,1
9000005,EVT00046,B600003-1-550,1/23/2025 4:40,North,1
9000006,EVT00030,B600003-2-352,1/21/2025 7:15,North,1
9000007,EVT00021,B600003-3-376,4/8/2025 6:19,G2,0
9000008,EVT00028,B600004-1-132,4/13/2025 7:38,G3,1
9000009,EVT00035,B600004-2-430,3/21/2025 22:22,G1,1
9000010,EVT00055,B600004-4-792,4/14/2025 12:43,G1,1
9000011,EVT00076,B600004-5-520,1/4/2025 2:43,G2,1
9000012,EVT00047,B600005-1-457,10/17/2024 19:56,G3,1
9000013,EVT00002,B600005-2-525,2/6/2025 9:30,North,1
9000014,EVT00007,B600005-3-433,12/26/2024 11:36,VIP,1
9000015,EVT00049,B600006-1-789,1/30/2025 3:01,G3,1
9000016,EVT00066,B600006-2-356,3/29/2025 0:15,South,1
9000017,EVT00007,B600007-1-688,3/17/2025 8:10,Club,1
9000018,EVT00030,B600008-1-439,10/31/2024 16:25,G3,1
9000019,EVT00006,B600009-1-791,12/8/2024 12:48,South,1
9000020,EVT00032,B600009-2-296,12/29/2024 8:39,G1,1
9000021,EVT00070,B600009-3-854,1/11/2025 11:26,North,1
9000022,EVT00075,B600010-1-691,2/15/2025 3:44,VIP,1
9000023,EVT00031,B600010-2-508,2/19/2025 14:48,Club,1
9000024,EVT00069,B600011-1-290,2/7/2025 17:20,G2,1
9000025,EVT00022,B600012-1-101,2/27/2025 10:03,Club,1
9000026,EVT00070,B600013-1-420,2/5/2025 14:08,G2,1
9000027,EVT00075,B600013-2-305,3/22/2025 0:59,Club,1
9000028,EVT00037,B600014-1-207,10/28/2024 1:04,Club,1
9000029,EVT00049,B600014-2-233,10/18/2024 18:15,Club,1
9000030,EVT00024,B600014-3-346,1/20/2025 4:02,South,1
9000031,EVT00044,B600015-1-463,11/2/2024 11:41,G2,1
9000032,EVT00045,B600015-2-878,1/1/2025 22:27,North,1
9000033,EVT00030,B600016-1-313,12/5/2024 15:06,VIP,1
9000034,EVT00010,B600016-2-151,1/20/2025 7:04,G1,1
9000035,EVT00016,B600017-1-211,12/10/2024 18:39,VIP,1
9000036,EVT00057,B600018-1-150,3/9/2025 6:43,North,1
9000037,EVT00067,B600018-2-124,4/25/2025 17:45,South,1
9000038,EVT00017,B600020-1-549,4/30/2025 18:46,VIP,1
9000039,EVT00048,B600021-1-253,11/11/2024 19:58,G2,1
9000040,EVT00051,B600021-2-628,2/19/2025 17:34,South,1
9000041,EVT00023,B600021-3-807,10/5/2024 11:53,North,1
9000042,EVT00052,B600022-2-704,4/9/2025 20:13,North,1
9000043,EVT00071,B600022-3-405,11/2/2024 0:41,G3,1
9000044,EVT00034,B600023-1-988,2/15/2025 10:51,South,1
9000045,EVT00071,B600024-1-591,4/8/2025 2:22,South,1
9000046,EVT00063,B600024-2-879,12/5/2024 22:26,South,1
9000047,EVT00010,B600024-3-577,4/22/2025 19:43,South,1
9000048,EVT00030,B600025-1-845,1/8/2025 16:20,VIP,1
9000049,EVT00001,B600025-2-104,11/29/2024 1:56,South,1
9000050,EVT00059,B600026-1-239,11/7/2024 4:35,North,1
9000051,EVT00026,B600026-2-598,3/3/2025 20:03,G2,1
9000052,EVT00015,B600027-1-147,10/26/2024 21:52,South,1
9000053,EVT00065,B600028-2-193,11/22/2024 15:56,G3,1
9000054,EVT00077,B600028-4-515,2/27/2025 8:15,Club,1
9000055,EVT00072,B600029-1-708,10/8/2024 21:29,G2,1
9000056,EVT00002,B600029-2-239,12/9/2024 5:37,Club,1
9000057,EVT00061,B600030-1-249,12/23/2024 21:17,VIP,1
9000058,EVT00064,B600031-1-897,11/12/2024 14:28,G1,1
9000059,EVT00014,B600032-1-330,4/26/2025 8:18,North,1
9000060,EVT00072,B600033-1-263,4/15/2025 1:07,G2,1
9000061,EVT00069,B600033-2-247,10/30/2024 9:47,South,1
9000062,EVT00041,B600033-3-310,10/10/2024 21:12,South,1
9000063,EVT00032,B600034-1-100,1/19/2025 2:53,G1,1
9000064,EVT00078,B600034-2-860,4/12/2025 7:10,G1,1
9000065,EVT00014,B600035-1-752,3/30/2025 22:41,G2,1
9000066,EVT00025,B600036-1-297,1/26/2025 17:31,VIP,1
9000067,EVT00017,B600037-1-534,12/3/2024 0:02,G2,1
9000068,EVT00021,B600038-1-366,2/15/2025 9:12,VIP,1
9000069,EVT00071,B600039-2-401,3/18/2025 15:31,North,1
9000070,EVT00078,B600039-3-878,10/3/2024 1:44,VIP,1
9000071,EVT00017,B600040-1-473,1/1/2025 8:51,G3,1
9000072,EVT00058,B600040-2-404,4/4/2025 18:13,VIP,1
9000073,EVT00036,B600041-1-317,1/20/2025 22:52,G2,1
9000074,EVT00033,B600041-2-861,10/21/2024 21:36,G3,1
9000075,EVT00024,B600041-3-690,3/9/2025 9:30,North,1
9000076,EVT00010,B600043-1-385,11/29/2024 20:37,VIP,1
9000077,EVT00080,B600043-2-131,10/3/2024 2:04,G3,1
9000078,EVT00027,B600043-3-140,3/3/2025 9:39,North,1
9000079,EVT00038,B600044-1-389,1/28/2025 0:22,South,1
9000080,EVT00051,B600044-2-333,10/25/2024 8:36,G1,1
9000081,EVT00073,B600044-3-810,11/24/2024 6:22,Club,1
9000082,EVT00021,B600045-1-143,11/16/2024 19:05,G1,1
9000083,EVT00048,B600045-2-298,10/12/2024 5:33,G1,1
9000084,EVT00041,B600046-1-540,11/9/2024 23:05,G1,1
9000085,EVT00038,B600047-1-221,2/24/2025 4:21,G2,1
