ItemId,OrdId,EvtId,TktType,Sect,Rw,Seat,Price,Barcode
7000000,600000,EVT00024,single,GA,D,,135.77,B600000-1-223
7000001,600000,EVT00025,single,103,B,19,58.13,B600000-2-753
7000002,600001,EVT00017,single,105,B,4,85.18,B600001-1-202
7000003,600001,EVT00064,single,GA,D,,90.57,B600001-2-613
7000004,600002,EVT00021,single,106,C,2,89.8,B600002-1-793
7000005,600003,EVT00046,season,105,B,15,16.97,B600003-1-550
7000006,600003,EVT00030,season,103,D,26,25.45,B600003-2-352
7000007,600003,EVT00021,season,105,A,28,18.29,B600003-3-376
7000008,600004,EVT00028,season,105,D,5,40.64,B600004-1-132
7000009,600004,EVT00035,season,105,,26,36.29,B600004-2-430
7000010,600004,EVT00015,season,,E,17,40.58,B600004-3-261
7000011,600004,EVT00055,season,102,B,14,50.32,B600004-4-792
7000012,600004,EVT00076,season,102,,10,6.89,B600004-5-520
7000013,600005,EVT00047,season,,B,26,29.52,B600005-1-457
7000014,600005,EVT00002,season,GA,A,,52.29,B600005-2-525
7000015,600005,EVT00007,season,GA,,,94.65,B600005-3-433
7000016,600006,EVT00049,single,GA,E,,69.09,B600006-1-789
7000017,600006,EVT00066,single,104,A,18,73.61,B600006-2-356
7000018,600007,EVT00007,single,,,22,123.88,B600007-1-688
7000019,600008,EVT00030,youth,102,E,9,230.07,B600008-1-439
7000020,600009,EVT00006,single,106,D,24,85.05,B600009-1-791
7000021,600009,EVT00032,single,103,D,9,93.17,B600009-2-296
7000022,600009,EVT00070,single,,A,13,66.12,B600009-3-854
7000023,600010,EVT00075,single,,D,9,107.67,B600010-1-691
7000024,600010,EVT00031,season,104,D,9,133.89,B600010-2-508
7000025,600011,EVT00069,single,101,D,22,225.2,B600011-1-290
7000026,600012,EVT00022,single,GA,D,,53.48,B600012-1-101
7000027,600013,EVT00070,season,102,A,11,34.49,B600013-1-420
7000028,600013,EVT00075,season,105,,17,39.28,B600013-2-305
7000029,600014,EVT00037,season,105,E,26,48.58,B600014-1-207
7000030,600014,EVT00049,season,106,E,10,26.27,B600014-2-233
7000031,600014,EVT00024,vip,GA,C,,146.03,B600014-3-346
7000032,600015,EVT00044,single,,E,3,186.78,B600015-1-463
7000033,600015,EVT00045,single,103,B,12,29.9,B600015-2-878
7000034,600016,EVT00030,single,GA,E,,31.31,B600016-1-313
7000035,600016,EVT00010,single,103,E,4,33.01,B600016-2-151
7000036,600017,EVT00016,single,101,E,6,205.98,B600017-1-211
7000037,600018,EVT00057,single,103,D,7,16.18,B600018-1-150
7000038,600018,EVT00067,single,,C,11,86.23,B600018-2-124
7000039,600019,EVT00001,single,104,A,14,165.66,B600019-1-762
7000040,600020,EVT00017,vip,106,C,18,136.97,B600020-1-549
7000041,600021,EVT00048,comp,102,C,28,0,B600021-1-253
7000042,600021,EVT00051,single,105,D,8,42.93,B600021-2-628
7000043,600021,EVT00023,single,,D,22,39.73,B600021-3-807
7000044,600022,EVT00074,single,GA,B,,7.61,B600022-1-652
7000045,600022,EVT00052,single,101,,16,8.45,B600022-2-704
7000046,600022,EVT00071,single,102,B,4,12.86,B600022-3-405
7000047,600023,EVT00034,single,GA,C,,93.93,B600023-1-988
7000048,600024,EVT00071,single,104,B,12,86.53,B600024-1-591
7000049,600024,EVT00063,single,GA,D,,32.58,B600024-2-879
7000050,600024,EVT00010,single,101,B,3,68.46,B600024-3-577
7000051,600025,EVT00030,single,101,C,14,42.14,B600025-1-845
7000052,600025,EVT00001,single,101,D,18,123.69,B600025-2-104
7000053,600026,EVT00059,single,102,E,22,65.83,B600026-1-239
7000054,600026,EVT00026,comp,,,13,0,B600026-2-598
7000055,600027,EVT00015,single,102,B,25,11.91,B600027-1-147
7000056,600027,EVT00027,single,GA,B,,25.71,B600027-2-527
7000057,600028,EVT00009,single,GA,A,,6.46,B600028-1-400
7000058,600028,EVT00065,single,103,B,26,12.31,B600028-2-193
7000059,600028,EVT00014,single,105,E,20,13.08,B600028-3-210
7000060,600028,EVT00077,single,GA,B,,6.53,B600028-4-515
7000061,600029,EVT00072,single,105,E,26,56.04,B600029-1-708
7000062,600029,EVT00002,comp,101,B,9,0,B600029-2-239
7000063,600030,EVT00061,single,,D,11,97.58,B600030-1-249
7000064,600031,EVT00064,single,105,D,4,81.08,B600031-1-897
7000065,600032,EVT00014,single,103,E,29,111.49,B600032-1-330
7000066,600033,EVT00072,season,106,A,20,78.07,B600033-1-263
7000067,600033,EVT00069,single,GA,D,,59.34,B600033-2-247
7000068,600033,EVT00041,single,103,E,24,92.46,B600033-3-310
7000069,600034,EVT00032,single,102,B,1,40.59,B600034-1-100
7000070,600034,EVT00078,single,106,B,13,53.88,B600034-2-860
7000071,600035,EVT00014,single,,A,8,134.41,B600035-1-752
7000072,600036,EVT00025,youth,101,E,29,137.18,B600036-1-297
7000073,600037,EVT00017,single,103,E,7,225.62,B600037-1-534
7000074,600038,EVT00021,single,104,A,26,38.58,B600038-1-366
7000075,600039,EVT00028,single,101,C,9,52.98,B600039-1-165
7000076,600039,EVT00071,single,GA,A,,55.76,B600039-2-401
7000077,600039,EVT00078,single,106,A,7,134.51,B600039-3-878
7000078,600040,EVT00017,single,103,D,3,26.28,B600040-1-473
7000079,600040,EVT00058,vip,103,C,11,43.57,B600040-2-404
7000080,600041,EVT00036,single,103,B,4,38.25,B600041-1-317
7000081,600041,EVT00033,single,102,C,21,23.76,B600041-2-861
7000082,600041,EVT00024,single,104,D,22,13.9,B600041-3-690
7000083,600042,EVT00002,single,106,A,22,217.16,B600042-1-884
7000084,600043,EVT00010,single,101,B,7,18.41,B600043-1-385
7000085,600043,EVT00080,single,103,A,16,23.14,B600043-2-131
7000086,600043,EVT00027,vip,106,E,25,13.32,B600043-3-140
7000087,600044,EVT00038,youth,101,,2,6.31,B600044-1-389
7000088,600044,EVT00051,single,,,11,10.08,B600044-2-333
7000089,600044,EVT00073,single,105,D,21,5.79,B600044-3-810
7000090,600045,EVT00021,comp,101,A,23,0,B600045-1-143
7000091,600045,EVT00048,youth,103,A,30,106.61,B600045-2-298
7000092,600046,EVT00041,single,,D,19,44.39,B600046-1-540
7000093,600047,EVT00038,single,,E,4,233.27,B600047-1-221
7000094,600048,EVT00036,single,103,C,17,3.51,B600048-1-930
7000095,600048,EVT00011,single,101,A,20,14.77,B600048-2-629
7000096,600048,EVT00003,single,105,E,26,6.71,B600048-3-798
7000097,600048,EVT00033,single,,,9,13.59,B600048-4-471
7000098,600049,EVT00025,youth,GA,A,,167.66,B600049-1-451
7000099,600050,EVT00056,single,105,E,3,7.94,B600050-1-813
7000100,600050,EVT00046,youth,104,E,18,14.49,B600050-2-612
7000101,600050,EVT00078,single,102,,2,18.71,B600050-3-550
7000102,600050,EVT00013,single,104,B,29,32.94,B600050-4-703
7000103,600051,EVT00058,vip,105,A,1,179.45,B600051-1-944
7000104,600052,EVT00037,season,105,E,10,63.48,B600052-1-726
7000105,600052,EVT00069,youth,,C,18,146.31,B600052-2-414
7000106,600053,EVT00004,single,,E,7,60.81,B600053-1-594
7000107,600054,EVT00049,single,101,E,18,12.78,B600054-1-596
7000108,600054,EVT00001,season,102,C,12,10.1,B600054-2-514
7000109,600054,EVT00014,season,104,B,17,9.26,B600054-3-435
7000110,600055,EVT00039,season,106,C,28,90.55,B600055-1-789
7000111,600056,EVT00034,season,,A,23,34.92,B600056-1-670
7000112,600056,EVT00078,season,101,C,6,92.14,B600056-2-817
7000113,600056,EVT00010,season,105,,28,51.69,B600056-3-762
7000114,600056,EVT00057,vip,106,A,16,14.43,B600056-4-409
7000115,600057,EVT00002,season,,E,11,54.41,B600057-1-731
7000116,600057,EVT00013,season,106,E,12,39.24,B600057-2-604
7000117,600057,EVT00057,season,104,,21,32.37,B600057-3-819
7000118,600058,EVT00073,single,GA,C,,111.14,B600058-1-186
7000119,600058,EVT00078,single,102,D,23,85.18,B600058-2-490
7000120,600059,EVT00005,season,102,,3,246.01,B600059-1-122
7000121,600060,EVT00030,single,103,B,9,147.92,B600060-1-386
7000122,600061,EVT00058,single,101,E,12,188.13,B600061-1-844
7000123,600062,EVT00076,single,103,E,14,72.73,B600062-1-682
7000124,600063,EVT00049,single,104,C,19,31.43,B600063-1-308
7000125,600063,EVT00048,single,,D,20,44.95,B600063-2-831
7000126,600063,EVT00035,single,105,,22,23.14,B600063-3-804
7000127,600064,EVT00059,single,102,D,25,124.83,B600064-1-554
7000128,600064,EVT00037,single,106,B,23,73.64,B600064-2-263
7000129,600065,EVT00048,single,106,A,8,103.43,B600065-1-384
7000130,600065,EVT00063,single,102,,8,99.94,B600065-2-630
7000131,600066,EVT00079,youth,106,B,2,3.94,B600066-1-423
7000132,600066,EVT00005,single,,E,16,19.12,B600066-2-469
7000133,600066,EVT00054,youth,106,,11,19.64,B600066-3-512
7000134,600067,EVT00015,single,103,C,9,97.05,B600067-1-283
7000135,600067,EVT00051,single,101,B,1,61.96,B600067-2-712
7000136,600068,EVT00032,single,104,B,14,30.82,B600068-1-950
7000137,600068,EVT00067,single,,E,27,205.21,B600068-2-870
7000138,600069,EVT00072,single,,D,22,87.14,B600069-1-356
7000139,600069,EVT00040,single,104,,27,28.79,B600069-2-144
7000140,600069,EVT00051,single,GA,E,,42.59,B600069-3-520
7000141,600069,EVT00012,single,105,,2,70.46,B600069-4-197
7000142,600070,EVT00055,single,,C,28,99.11,B600070-1-557
7000143,600070,EVT00021,single,105,D,15,58.39,B600070-2-582
7000144,600070,EVT00046,single,103,D,5,62.54,B600070-3-447
7000145,600071,EVT00070,single,104,D,19,52.77,B600071-1-413
7000146,600071,EVT00056,youth,102,,29,22.6,B600071-2-728
